Id,ExtLinks,CreateDate,UpdateDate,Bioproject,Biosample,Experiment,Experiment_name,Experiment_status,Experiment_ver,Instrument_ILLUMINA,LibraryLayout,LibraryName,LibrarySelection,LibrarySource,LibraryStrategy,Organism_ScientificName,Organism_taxid,Sample,Sample_name,Study,Study_name,Submitter,Submitter_center_name,Submitter_contact_name,Submitter_lab_name,Run,Run_cluster_name,Run_is_public,Run_load_done,Run_static_data_available,Run_total_bases,Run_total_spots
4076385,,2017/05/20,2017/05/20,PRJNA361402,SAMN06233224,SRX2838502,25V1,public,1,NextSeq 500,PAIRED,G15-003-223,PCR,METAGENOMIC,WGS,human gut metagenome,408170,SRS1996016,,SRP100518,human gut metagenome Metagenome,SRA561762,University of Gothenburg,Tony Wu,The Wallenberg lab,SRR5580304,public,true,true,true,806282340,2680697
4076384,,2017/05/20,2017/05/20,PRJNA361402,SAMN06233224,SRX2838501,25V1,public,1,NextSeq 500,PAIRED,G15-003-222,PCR,METAGENOMIC,WGS,human gut metagenome,408170,SRS1996016,,SRP100518,human gut metagenome Metagenome,SRA561762,University of Gothenburg,Tony Wu,The Wallenberg lab,SRR5580305,public,true,true,true,897155050,2982593
4076383,,2017/05/20,2017/05/20,PRJNA361402,SAMN06233224,SRX2838500,25V1,public,1,NextSeq 500,PAIRED,G15-003-221,PCR,METAGENOMIC,WGS,human gut metagenome,408170,SRS1996016,,SRP100518,human gut metagenome Metagenome,SRA561762,University of Gothenburg,Tony Wu,The Wallenberg lab,SRR5580306,public,true,true,true,799264833,2657984
4076382,,2017/05/20,2017/05/20,PRJNA361402,SAMN06233224,SRX2838499,25V3,public,1,NextSeq 500,PAIRED,G15-003-228,PCR,METAGENOMIC,WGS,human gut metagenome,408170,SRS1996016,,SRP100518,human gut metagenome Metagenome,SRA561762,University of Gothenburg,Tony Wu,The Wallenberg lab,SRR5580307,public,true,true,true,734736294,2443095
4076381,,2017/05/20,2017/05/20,PRJNA361402,SAMN06233224,SRX2838498,25V3,public,1,NextSeq 500,PAIRED,G15-003-227,PCR,METAGENOMIC,WGS,human gut metagenome,408170,SRS1996016,,SRP100518,human gut metagenome Metagenome,SRA561762,University of Gothenburg,Tony Wu,The Wallenberg lab,SRR5580308,public,true,true,true,2682323834,8881867
4076380,,2017/05/20,2017/05/20,PRJNA361402,SAMN06233224,SRX2838497,25V1,public,1,NextSeq 500,PAIRED,G15-003-226,PCR,METAGENOMIC,WGS,human gut metagenome,408170,SRS1996016,,SRP100518,human gut metagenome Metagenome,SRA561762,University of Gothenburg,Tony Wu,The Wallenberg lab,SRR5580309,public,true,true,true,901805023,2997094
4076379,,2017/05/20,2017/05/20,PRJNA361402,SAMN06233224,SRX2838496,25V1,public,1,NextSeq 500,PAIRED,G15-003-225,PCR,METAGENOMIC,WGS,human gut metagenome,408170,SRS1996016,,SRP100518,human gut metagenome Metagenome,SRA561762,University of Gothenburg,Tony Wu,The Wallenberg lab,SRR5580310,public,true,true,true,799794792,2659047
4076378,,2017/05/20,2017/05/20,PRJNA361402,SAMN06233224,SRX2838495,25V3,public,1,NextSeq 500,PAIRED,G15-003-230,PCR,METAGENOMIC,WGS,human gut metagenome,408170,SRS1996016,,SRP100518,human gut metagenome Metagenome,SRA561762,University of Gothenburg,Tony Wu,The Wallenberg lab,SRR5580311,public,true,true,true,719622789,2392972
4076377,,2017/05/20,2017/05/20,PRJNA361402,SAMN06233224,SRX2838494,25V3,public,1,NextSeq 500,PAIRED,G15-003-229,PCR,METAGENOMIC,WGS,human gut metagenome,408170,SRS1996016,,SRP100518,human gut metagenome Metagenome,SRA561762,University of Gothenburg,Tony Wu,The Wallenberg lab,SRR5580312,public,true,true,true,820474848,2727605
4076376,,2017/05/20,2017/05/20,PRJNA361402,SAMN06233224,SRX2838493,30V6,public,1,NextSeq 500,PAIRED,G15-003-367,PCR,METAGENOMIC,WGS,human gut metagenome,408170,SRS1996016,,SRP100518,human gut metagenome Metagenome,SRA561762,University of Gothenburg,Tony Wu,The Wallenberg lab,SRR5580313,public,true,true,true,5666266846,18762473
4076375,,2017/05/20,2017/05/20,PRJNA361402,SAMN06233224,SRX2838492,30V6,public,1,NextSeq 500,PAIRED,G15-003-368,PCR,METAGENOMIC,WGS,human gut metagenome,408170,SRS1996016,,SRP100518,human gut metagenome Metagenome,SRA561762,University of Gothenburg,Tony Wu,The Wallenberg lab,SRR5580314,public,true,true,true,5430226666,17980883
4076374,,2017/05/20,2017/05/20,PRJNA361402,SAMN06233224,SRX2838491,27V6,public,1,NextSeq 500,PAIRED,G15-003-297,PCR,METAGENOMIC,WGS,human gut metagenome,408170,SRS1996016,,SRP100518,human gut metagenome Metagenome,SRA561762,University of Gothenburg,Tony Wu,The Wallenberg lab,SRR5580315,public,true,true,true,5677250284,18798842
4076373,,2017/05/20,2017/05/20,PRJNA361402,SAMN06233224,SRX2838490,27V6,public,1,NextSeq 500,PAIRED,G15-003-298,PCR,METAGENOMIC,WGS,human gut metagenome,408170,SRS1996016,,SRP100518,human gut metagenome Metagenome,SRA561762,University of Gothenburg,Tony Wu,The Wallenberg lab,SRR5580316,public,true,true,true,9245090062,30612881
4076372,,2017/05/20,2017/05/20,PRJNA361402,SAMN06233224,SRX2838489,27V6,public,1,NextSeq 500,PAIRED,G15-003-295,PCR,METAGENOMIC,WGS,human gut metagenome,408170,SRS1996016,,SRP100518,human gut metagenome Metagenome,SRA561762,University of Gothenburg,Tony Wu,The Wallenberg lab,SRR5580317,public,true,true,true,5973078914,19778407
4076371,,2017/05/20,2017/05/20,PRJNA361402,SAMN06233224,SRX2838488,27V6,public,1,NextSeq 500,PAIRED,G15-003-296,PCR,METAGENOMIC,WGS,human gut metagenome,408170,SRS1996016,,SRP100518,human gut metagenome Metagenome,SRA561762,University of Gothenburg,Tony Wu,The Wallenberg lab,SRR5580318,public,true,true,true,5960806540,19737770
4076370,,2017/05/20,2017/05/20,PRJNA361402,SAMN06233224,SRX2838487,27V5,public,1,NextSeq 500,PAIRED,G15-003-293,PCR,METAGENOMIC,WGS,human gut metagenome,408170,SRS1996016,,SRP100518,human gut metagenome Metagenome,SRA561762,University of Gothenburg,Tony Wu,The Wallenberg lab,SRR5580319,public,true,true,true,848742117,2820926
4076369,,2017/05/20,2017/05/20,PRJNA361402,SAMN06233224,SRX2838486,27V6,public,1,NextSeq 500,PAIRED,G15-003-294,PCR,METAGENOMIC,WGS,human gut metagenome,408170,SRS1996016,,SRP100518,human gut metagenome Metagenome,SRA561762,University of Gothenburg,Tony Wu,The Wallenberg lab,SRR5580320,public,true,true,true,7305919674,24191787
4076368,,2017/05/20,2017/05/20,PRJNA361402,SAMN06233224,SRX2838485,27V5,public,1,NextSeq 500,PAIRED,G15-003-291,PCR,METAGENOMIC,WGS,human gut metagenome,408170,SRS1996016,,SRP100518,human gut metagenome Metagenome,SRA561762,University of Gothenburg,Tony Wu,The Wallenberg lab,SRR5580321,public,true,true,true,846398201,2813561
4076367,,2017/05/20,2017/05/20,PRJNA361402,SAMN06233224,SRX2838484,27V5,public,1,NextSeq 500,PAIRED,G15-003-292,PCR,METAGENOMIC,WGS,human gut metagenome,408170,SRS1996016,,SRP100518,human gut metagenome Metagenome,SRA561762,University of Gothenburg,Tony Wu,The Wallenberg lab,SRR5580322,public,true,true,true,856506667,2846854
4076366,,2017/05/20,2017/05/20,PRJNA361402,SAMN06233224,SRX2838483,15V1,public,1,NextSeq 500,PAIRED,G15-003-089,PCR,METAGENOMIC,WGS,human gut metagenome,408170,SRS1996016,,SRP100518,human gut metagenome Metagenome,SRA561762,University of Gothenburg,Tony Wu,The Wallenberg lab,SRR5580323,public,true,true,true,999892065,3323389
4076365,,2017/05/20,2017/05/20,PRJNA361402,SAMN06233224,SRX2838482,15V3,public,1,NextSeq 500,PAIRED,G15-003-090,PCR,METAGENOMIC,WGS,human gut metagenome,408170,SRS1996016,,SRP100518,human gut metagenome Metagenome,SRA561762,University of Gothenburg,Tony Wu,The Wallenberg lab,SRR5580324,public,true,true,true,3083753106,10211103
4076364,,2017/05/20,2017/05/20,PRJNA361402,SAMN06233224,SRX2838481,29V1,public,1,NextSeq 500,PAIRED,G15-003-299,PCR,METAGENOMIC,WGS,human gut metagenome,408170,SRS1996016,,SRP100518,human gut metagenome Metagenome,SRA561762,University of Gothenburg,Tony Wu,The Wallenberg lab,SRR5580325,public,true,true,true,2981466008,9872404
4076363,,2017/05/20,2017/05/20,PRJNA361402,SAMN06233224,SRX2838480,29V1,public,1,NextSeq 500,PAIRED,G15-003-300,PCR,METAGENOMIC,WGS,human gut metagenome,408170,SRS1996016,,SRP100518,human gut metagenome Metagenome,SRA561762,University of Gothenburg,Tony Wu,The Wallenberg lab,SRR5580326,public,true,true,true,946695769,3147386
4076362,,2017/05/20,2017/05/20,PRJNA361402,SAMN06233224,SRX2838479,30V6,public,1,NextSeq 500,PAIRED,G15-003-369,PCR,METAGENOMIC,WGS,human gut metagenome,408170,SRS1996016,,SRP100518,human gut metagenome Metagenome,SRA561762,University of Gothenburg,Tony Wu,The Wallenberg lab,SRR5580327,public,true,true,true,8361724660,27687830
4076361,,2017/05/20,2017/05/20,PRJNA361402,SAMN06233224,SRX2838478,31V1,public,1,NextSeq 500,PAIRED,G15-003-370,PCR,METAGENOMIC,WGS,human gut metagenome,408170,SRS1996016,,SRP100518,human gut metagenome Metagenome,SRA561762,University of Gothenburg,Tony Wu,The Wallenberg lab,SRR5580328,public,true,true,true,3046357352,10087276
4076360,,2017/05/20,2017/05/20,PRJNA361402,SAMN06233224,SRX2838477,30V1,public,1,NextSeq 500,PAIRED,G15-003-349,PCR,METAGENOMIC,WGS,human gut metagenome,408170,SRS1996016,,SRP100518,human gut metagenome Metagenome,SRA561762,University of Gothenburg,Tony Wu,The Wallenberg lab,SRR5580329,public,true,true,true,700496084,2327990
4076359,,2017/05/20,2017/05/20,PRJNA361402,SAMN06233224,SRX2838476,30V1,public,1,NextSeq 500,PAIRED,G15-003-350,PCR,METAGENOMIC,WGS,human gut metagenome,408170,SRS1996016,,SRP100518,human gut metagenome Metagenome,SRA561762,University of Gothenburg,Tony Wu,The Wallenberg lab,SRR5580330,public,true,true,true,690958110,2296152
4076358,,2017/05/20,2017/05/20,PRJNA361402,SAMN06233224,SRX2838475,2V6,public,1,NextSeq 500,PAIRED,G15-003-341,PCR,METAGENOMIC,WGS,human gut metagenome,408170,SRS1996016,,SRP100518,human gut metagenome Metagenome,SRA561762,University of Gothenburg,Tony Wu,The Wallenberg lab,SRR5580331,public,true,true,true,6670011562,22086131
4076357,,2017/05/20,2017/05/20,PRJNA361402,SAMN06233224,SRX2838474,2V6,public,1,NextSeq 500,PAIRED,G15-003-342,PCR,METAGENOMIC,WGS,human gut metagenome,408170,SRS1996016,,SRP100518,human gut metagenome Metagenome,SRA561762,University of Gothenburg,Tony Wu,The Wallenberg lab,SRR5580332,public,true,true,true,5438306072,18007636
4076356,,2017/05/20,2017/05/20,PRJNA361402,SAMN06233224,SRX2838473,2V6,public,1,NextSeq 500,PAIRED,G15-003-343,PCR,METAGENOMIC,WGS,human gut metagenome,408170,SRS1996016,,SRP100518,human gut metagenome Metagenome,SRA561762,University of Gothenburg,Tony Wu,The Wallenberg lab,SRR5580333,public,true,true,true,5445565246,18031673
4076355,,2017/05/20,2017/05/20,PRJNA361402,SAMN06233224,SRX2838472,2V6,public,1,NextSeq 500,PAIRED,G15-003-344,PCR,METAGENOMIC,WGS,human gut metagenome,408170,SRS1996016,,SRP100518,human gut metagenome Metagenome,SRA561762,University of Gothenburg,Tony Wu,The Wallenberg lab,SRR5580334,public,true,true,true,5210048432,17251816
4076354,,2017/05/20,2017/05/20,PRJNA361402,SAMN06233224,SRX2838471,2V6,public,1,NextSeq 500,PAIRED,G15-003-345,PCR,METAGENOMIC,WGS,human gut metagenome,408170,SRS1996016,,SRP100518,human gut metagenome Metagenome,SRA561762,University of Gothenburg,Tony Wu,The Wallenberg lab,SRR5580335,public,true,true,true,8469917066,28046083
4076353,,2017/05/20,2017/05/20,PRJNA361402,SAMN06233224,SRX2838470,30V1,public,1,NextSeq 500,PAIRED,G15-003-346,PCR,METAGENOMIC,WGS,human gut metagenome,408170,SRS1996016,,SRP100518,human gut metagenome Metagenome,SRA561762,University of Gothenburg,Tony Wu,The Wallenberg lab,SRR5580336,public,true,true,true,1849621650,6124575
4076352,,2017/05/20,2017/05/20,PRJNA361402,SAMN06233224,SRX2838469,30V1,public,1,NextSeq 500,PAIRED,G15-003-347,PCR,METAGENOMIC,WGS,human gut metagenome,408170,SRS1996016,,SRP100518,human gut metagenome Metagenome,SRA561762,University of Gothenburg,Tony Wu,The Wallenberg lab,SRR5580337,public,true,true,true,689663302,2292326
4076351,,2017/05/20,2017/05/20,PRJNA361402,SAMN06233224,SRX2838468,30V1,public,1,NextSeq 500,PAIRED,G15-003-348,PCR,METAGENOMIC,WGS,human gut metagenome,408170,SRS1996016,,SRP100518,human gut metagenome Metagenome,SRA561762,University of Gothenburg,Tony Wu,The Wallenberg lab,SRR5580338,public,true,true,true,688255939,2287548
4076350,,2017/05/20,2017/05/20,PRJNA361402,SAMN06233224,SRX2838467,21V3,public,1,NextSeq 500,PAIRED,G15-003-161,PCR,METAGENOMIC,WGS,human gut metagenome,408170,SRS1996016,,SRP100518,human gut metagenome Metagenome,SRA561762,University of Gothenburg,Tony Wu,The Wallenberg lab,SRR5580339,public,true,true,true,3342947626,11069363
4076349,,2017/05/20,2017/05/20,PRJNA361402,SAMN06233224,SRX2838466,21V3,public,1,NextSeq 500,PAIRED,G15-003-162,PCR,METAGENOMIC,WGS,human gut metagenome,408170,SRS1996016,,SRP100518,human gut metagenome Metagenome,SRA561762,University of Gothenburg,Tony Wu,The Wallenberg lab,SRR5580340,public,true,true,true,923674426,3080702
4076348,,2017/05/20,2017/05/20,PRJNA361402,SAMN06233224,SRX2838465,21V3,public,1,NextSeq 500,PAIRED,G15-003-163,PCR,METAGENOMIC,WGS,human gut metagenome,408170,SRS1996016,,SRP100518,human gut metagenome Metagenome,SRA561762,University of Gothenburg,Tony Wu,The Wallenberg lab,SRR5580341,public,true,true,true,988209064,3297304
4076347,,2017/05/20,2017/05/20,PRJNA361402,SAMN06233224,SRX2838464,21V3,public,1,NextSeq 500,PAIRED,G15-003-164,PCR,METAGENOMIC,WGS,human gut metagenome,408170,SRS1996016,,SRP100518,human gut metagenome Metagenome,SRA561762,University of Gothenburg,Tony Wu,The Wallenberg lab,SRR5580342,public,true,true,true,900440904,3003612
4076346,,2017/05/20,2017/05/20,PRJNA361402,SAMN06233224,SRX2838463,21V3,public,1,NextSeq 500,PAIRED,G15-003-165,PCR,METAGENOMIC,WGS,human gut metagenome,408170,SRS1996016,,SRP100518,human gut metagenome Metagenome,SRA561762,University of Gothenburg,Tony Wu,The Wallenberg lab,SRR5580343,public,true,true,true,987814347,3295872
4076345,,2017/05/20,2017/05/20,PRJNA361402,SAMN06233224,SRX2838462,21V3,public,1,NextSeq 500,PAIRED,G15-003-166,PCR,METAGENOMIC,WGS,human gut metagenome,408170,SRS1996016,,SRP100518,human gut metagenome Metagenome,SRA561762,University of Gothenburg,Tony Wu,The Wallenberg lab,SRR5580344,public,true,true,true,915060855,3051692
4076344,,2017/05/20,2017/05/20,PRJNA361402,SAMN06233224,SRX2838461,21V3,public,1,NextSeq 500,PAIRED,G15-003-167,PCR,METAGENOMIC,WGS,human gut metagenome,408170,SRS1996016,,SRP100518,human gut metagenome Metagenome,SRA561762,University of Gothenburg,Tony Wu,The Wallenberg lab,SRR5580345,public,true,true,true,993569880,3314116
4076343,,2017/05/20,2017/05/20,PRJNA361402,SAMN06233224,SRX2838460,21V3,public,1,NextSeq 500,PAIRED,G15-003-168,PCR,METAGENOMIC,WGS,human gut metagenome,408170,SRS1996016,,SRP100518,human gut metagenome Metagenome,SRA561762,University of Gothenburg,Tony Wu,The Wallenberg lab,SRR5580346,public,true,true,true,904478827,3016340
4076342,,2017/05/20,2017/05/20,PRJNA361402,SAMN06233224,SRX2838459,21V3,public,1,NextSeq 500,PAIRED,G15-003-169,PCR,METAGENOMIC,WGS,human gut metagenome,408170,SRS1996016,,SRP100518,human gut metagenome Metagenome,SRA561762,University of Gothenburg,Tony Wu,The Wallenberg lab,SRR5580347,public,true,true,true,988960768,3298505
4076341,,2017/05/20,2017/05/20,PRJNA361402,SAMN06233224,SRX2838458,21V5,public,1,NextSeq 500,PAIRED,G15-003-170,PCR,METAGENOMIC,WGS,human gut metagenome,408170,SRS1996016,,SRP100518,human gut metagenome Metagenome,SRA561762,University of Gothenburg,Tony Wu,The Wallenberg lab,SRR5580348,public,true,true,true,3107948440,10291220
4076340,,2017/05/20,2017/05/20,PRJNA361402,SAMN06233224,SRX2838457,11V5,public,1,NextSeq 500,PAIRED,G15-003-036,PCR,METAGENOMIC,WGS,human gut metagenome,408170,SRS1996016,,SRP100518,human gut metagenome Metagenome,SRA561762,University of Gothenburg,Tony Wu,The Wallenberg lab,SRR5580349,public,true,true,true,840001303,2792297
4076339,,2017/05/20,2017/05/20,PRJNA361402,SAMN06233224,SRX2838456,11V5,public,1,NextSeq 500,PAIRED,G15-003-035,PCR,METAGENOMIC,WGS,human gut metagenome,408170,SRS1996016,,SRP100518,human gut metagenome Metagenome,SRA561762,University of Gothenburg,Tony Wu,The Wallenberg lab,SRR5580350,public,true,true,true,711438965,2365445
4076338,,2017/05/20,2017/05/20,PRJNA361402,SAMN06233224,SRX2838455,11V5,public,1,NextSeq 500,PAIRED,G15-003-038,PCR,METAGENOMIC,WGS,human gut metagenome,408170,SRS1996016,,SRP100518,human gut metagenome Metagenome,SRA561762,University of Gothenburg,Tony Wu,The Wallenberg lab,SRR5580351,public,true,true,true,841134331,2795861
4076337,,2017/05/20,2017/05/20,PRJNA361402,SAMN06233224,SRX2838454,11V5,public,1,NextSeq 500,PAIRED,G15-003-037,PCR,METAGENOMIC,WGS,human gut metagenome,408170,SRS1996016,,SRP100518,human gut metagenome Metagenome,SRA561762,University of Gothenburg,Tony Wu,The Wallenberg lab,SRR5580352,public,true,true,true,690466843,2295858
